Date_Vente,SKU,Collection,Nom_Produit,Couleur,Taille,Quantité_Vendue,Prix_Unitaire,Remise,Prix_Final,Canal,Paiement,Pays,date_vente,pays_commande
2024-12-03,QAM-39,Qamis,Qamis Classique,Chocolat,Unknown,1,39.99,0,39.99,E-commerce,PayPal,Belgique,2024-02-16,Pays-Bas
2024-07-06,QAM-74,Qamis,Qamis Classique,Kaki,Unknown,3,39.99,0,39.99,E-commerce,PayPal,Belgique,2023-07-19,France
2023-08-08,LIN-126,Ensembles En Lin,Ensemble en Lin,Beige,M,3,69.99,0,69.99,E-commerce,Mastercard,Belgique,2024-06-16,France
2024-09-18,QAM-66,Qamis,Qamis Classique,Bleu foncé,Unknown,1,39.99,0,39.99,E-commerce,Google Pay,Belgique,2022-04-02,Belgique
2023-04-30,LIN-117,Ensembles En Lin,Ensemble en Lin,Bleu,S,1,69.99,0,69.99,E-commerce,Mastercard,Belgique,2024-08-13,France
2024-04-17,QAM-17,Qamis,Qamis Classique,Blanc,Unknown,1,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2023-05-24,Belgique
2025-03-01,CHE-102,Chechias,Chechia,Chocolat,M,3,9.49,0,9.49,E-commerce,Mastercard,Belgique,2024-02-15,France
2023-08-18,QAM-28,Qamis,Qamis Classique,Noir,Unknown,1,39.99,0,39.99,E-commerce,Google Pay,Belgique,2022-02-04,Belgique
2025-03-24,QAM-72,Qamis,Qamis Classique,Kaki,Unknown,2,39.99,0,39.99,E-commerce,Visa,Belgique,2022-07-25,France
2023-01-10,QAM-37,Qamis,Qamis Classique,Chocolat,Unknown,3,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2024-10-22,Pays-Bas
2023-11-20,QAM-7,Qamis,Qamis Classique,Beige,Unknown,3,39.99,0,39.99,E-commerce,Google Pay,Belgique,2024-10-18,Belgique
2023-09-24,CHE-101,Chechias,Chechia,Chocolat,S,1,9.49,0,9.49,E-commerce,Google Pay,Belgique,2023-07-20,Pays-Bas
2023-09-26,QAM-9,Qamis,Qamis Classique,Beige,Unknown,2,39.99,0,39.99,E-commerce,Visa,Belgique,2023-12-04,Belgique
2023-06-25,QAM-27,Qamis,Qamis Classique,Noir,Unknown,3,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2023-02-06,Luxembourg
2024-03-09,QAM-58,Qamis,Qamis Classique,Bleu foncé,Unknown,1,39.99,0,39.99,E-commerce,Visa,Belgique,2023-12-31,France
2023-03-16,CHE-112,Chechias,Chechia,Gris métallisé,XL,1,9.49,0,9.49,E-commerce,PayPal,Belgique,2022-06-11,France
2024-08-15,QAM-4,Qamis,Qamis Classique,Beige,Unknown,1,39.99,0,39.99,E-commerce,Visa,Belgique,2022-07-21,France
2024-03-03,CHE-102,Chechias,Chechia,Chocolat,M,2,9.49,0,9.49,E-commerce,Apple Pay,Belgique,2024-09-22,Luxembourg
2023-02-12,QAM-84,Qamis,Qamis Classique,Gris,Unknown,1,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2022-09-27,Belgique
2024-03-01,QAM-68,Qamis,Qamis Classique,Kaki,Unknown,3,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2024-03-26,Belgique
2024-08-30,CHE-107,Chechias,Chechia,Gris foncé,L,2,9.49,0,9.49,E-commerce,Visa,Belgique,2023-04-01,France
2024-11-03,QAM-42,Qamis,Qamis Classique,Chocolat,Unknown,3,39.99,0,39.99,E-commerce,Visa,Belgique,2024-10-13,Luxembourg
2024-09-21,QAM-62,Qamis,Qamis Classique,Bleu foncé,Unknown,2,39.99,0,39.99,E-commerce,Mastercard,Belgique,2022-10-23,France
2025-06-09,QAM-35,Qamis,Qamis Classique,Chocolat,Unknown,3,39.99,0,39.99,E-commerce,PayPal,Belgique,2023-12-21,France
2023-09-28,CHE-90,Chechias,Chechia,Gris clair,M,3,9.49,0,9.49,E-commerce,Apple Pay,Belgique,2022-12-04,Belgique
2023-06-15,QAM-43,Qamis,Qamis Classique,Chocolat,Unknown,2,39.99,0,39.99,E-commerce,Mastercard,Belgique,2024-05-28,Luxembourg
2024-01-20,CHE-96,Chechias,Chechia,Noir,XL,3,9.49,0,9.49,E-commerce,Mastercard,Belgique,2024-12-12,Belgique
2024-04-24,SP-131,Sport-Plage,Short cache awra,Noir,L,2,44.99,0,44.99,E-commerce,Mastercard,Belgique,2024-03-02,France
2024-09-21,QAM-70,Qamis,Qamis Classique,Kaki,Unknown,2,39.99,0,39.99,E-commerce,Visa,Belgique,2022-08-05,Belgique
2023-03-04,QAM-35,Qamis,Qamis Classique,Chocolat,Unknown,3,39.99,0,39.99,E-commerce,PayPal,Belgique,2024-02-03,Belgique
2024-05-09,QAM-27,Qamis,Qamis Classique,Noir,Unknown,3,39.99,0,39.99,E-commerce,PayPal,Belgique,2022-07-07,Belgique
2024-12-24,CHE-106,Chechias,Chechia,Gris foncé,M,2,9.49,0,9.49,E-commerce,Google Pay,Belgique,2023-01-15,Belgique
2024-01-31,QAM-73,Qamis,Qamis Classique,Kaki,Unknown,2,39.99,0,39.99,E-commerce,Visa,Belgique,2023-05-08,France
2023-09-05,CHE-99,Chechias,Chechia,Bleu foncé,L,3,9.49,0,9.49,E-commerce,Apple Pay,Belgique,2024-11-30,Belgique
2023-11-07,QAM-34,Qamis,Qamis Classique,Chocolat,Unknown,2,39.99,0,39.99,E-commerce,Mastercard,Belgique,2022-01-15,Belgique
2023-01-31,SP-136,Sport-Plage,T-shirt technique,Noir,XL,1,24.99,0,24.99,E-commerce,Visa,Belgique,2022-03-06,Belgique
2024-05-09,SP-129,Sport-Plage,Short cache awra,Noir,S,3,44.99,0,44.99,E-commerce,Visa,Belgique,2023-06-05,Belgique
2023-10-28,CHE-103,Chechias,Chechia,Chocolat,L,3,9.49,0,9.49,E-commerce,Mastercard,Belgique,2023-10-10,Belgique
2023-11-25,QAM-38,Qamis,Qamis Classique,Chocolat,Unknown,3,39.99,0,39.99,E-commerce,Google Pay,Belgique,2024-12-22,Belgique
2023-04-22,LIN-128,Ensembles En Lin,Ensemble en Lin,Beige,XL,2,69.99,0,69.99,E-commerce,Apple Pay,Belgique,2023-08-16,France
2025-04-02,QAM-73,Qamis,Qamis Classique,Kaki,Unknown,2,39.99,0,39.99,E-commerce,Google Pay,Belgique,2023-01-27,France
2024-08-11,QAM-36,Qamis,Qamis Classique,Chocolat,Unknown,1,39.99,0,39.99,E-commerce,Visa,Belgique,2023-02-23,France
2023-04-09,QAM-57,Qamis,Qamis Classique,Bleu foncé,Unknown,2,39.99,0,39.99,E-commerce,Google Pay,Belgique,2022-10-16,France
2024-06-04,QAM-63,Qamis,Qamis Classique,Bleu foncé,Unknown,2,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2023-01-14,Belgique
2024-12-17,QAM-38,Qamis,Qamis Classique,Chocolat,Unknown,2,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2022-08-19,Luxembourg
2023-10-06,QAM-57,Qamis,Qamis Classique,Bleu foncé,Unknown,2,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2024-10-14,France
2024-07-09,LIN-113,Ensembles En Lin,Ensemble en Lin,Noir,S,2,69.99,0,69.99,E-commerce,Mastercard,Belgique,2022-02-10,France
2024-07-11,QAM-9,Qamis,Qamis Classique,Beige,Unknown,2,39.99,0,39.99,E-commerce,Visa,Belgique,2024-11-17,Belgique
2023-01-31,QAM-87,Qamis,Qamis Classique,Gris,Unknown,2,39.99,0,39.99,E-commerce,Mastercard,Belgique,2022-05-15,Belgique
2023-11-03,SP-133,Sport-Plage,T-shirt technique,Noir,S,1,24.99,0,24.99,E-commerce,Visa,Belgique,2022-07-20,Belgique
2024-06-02,QAM-47,Qamis,Qamis Classique,Bleu ciel,Unknown,2,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2024-02-19,Belgique
2025-01-28,CHE-104,Chechias,Chechia,Chocolat,XL,3,9.49,0,9.49,E-commerce,Google Pay,Belgique,2024-07-18,France
2024-03-09,QAM-14,Qamis,Qamis Classique,Blanc,Unknown,2,39.99,0,39.99,E-commerce,Google Pay,Belgique,2024-11-22,France
2024-11-16,QAM-25,Qamis,Qamis Classique,Noir,Unknown,3,39.99,0,39.99,E-commerce,Visa,Belgique,2024-12-07,France
2023-01-21,QAM-74,Qamis,Qamis Classique,Kaki,Unknown,2,39.99,0,39.99,E-commerce,Google Pay,Belgique,2023-05-18,France
2024-04-09,QAM-16,Qamis,Qamis Classique,Blanc,Unknown,1,39.99,0,39.99,E-commerce,Mastercard,Belgique,2023-02-11,Luxembourg
2024-10-04,QAM-33,Qamis,Qamis Classique,Noir,Unknown,3,39.99,0,39.99,E-commerce,Visa,Belgique,2024-03-15,France
2025-05-11,QAM-41,Qamis,Qamis Classique,Chocolat,Unknown,2,39.99,0,39.99,E-commerce,Mastercard,Belgique,2022-04-09,Pays-Bas
2024-04-12,QAM-8,Qamis,Qamis Classique,Beige,Unknown,1,39.99,0,39.99,E-commerce,PayPal,Belgique,2023-11-15,Belgique
2024-10-27,SP-131,Sport-Plage,Short cache awra,Noir,L,1,44.99,0,44.99,E-commerce,Mastercard,Belgique,2023-12-27,Belgique
2024-04-18,LIN-120,Ensembles En Lin,Ensemble en Lin,Bleu,XL,2,69.99,0,69.99,E-commerce,Apple Pay,Belgique,2024-08-18,Belgique
2024-10-08,QAM-17,Qamis,Qamis Classique,Blanc,Unknown,2,39.99,0,39.99,E-commerce,Google Pay,Belgique,2023-09-05,France
2024-02-12,LIN-124,Ensembles En Lin,Ensemble en Lin,Bordeaux,XL,2,69.99,0,69.99,E-commerce,Mastercard,Belgique,2023-10-05,Luxembourg
2024-09-28,QAM-79,Qamis,Qamis Classique,Gris,Unknown,3,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2024-10-25,Belgique
2023-01-27,QAM-46,Qamis,Qamis Classique,Bleu ciel,Unknown,1,39.99,0,39.99,E-commerce,Visa,Belgique,2023-05-18,Pays-Bas
2023-04-16,LIN-119,Ensembles En Lin,Ensemble en Lin,Bleu,L,2,69.99,0,69.99,E-commerce,Google Pay,Belgique,2024-02-06,Belgique
2025-04-14,CHE-93,Chechias,Chechia,Noir,S,2,9.49,0,9.49,E-commerce,Visa,Belgique,2023-02-02,Pays-Bas
2023-11-13,CHE-97,Chechias,Chechia,Bleu foncé,S,3,9.49,0,9.49,E-commerce,Visa,Belgique,2024-05-20,Belgique
2023-08-10,QAM-47,Qamis,Qamis Classique,Bleu ciel,Unknown,1,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2024-03-05,Belgique
2024-03-30,QAM-52,Qamis,Qamis Classique,Bleu ciel,Unknown,3,39.99,0,39.99,E-commerce,Google Pay,Belgique,2023-01-28,France
2024-09-06,LIN-121,Ensembles En Lin,Ensemble en Lin,Bordeaux,S,1,69.99,0,69.99,E-commerce,Visa,Belgique,2022-07-26,Belgique
2024-09-30,LIN-118,Ensembles En Lin,Ensemble en Lin,Bleu,M,1,69.99,0,69.99,E-commerce,Apple Pay,Belgique,2024-11-04,Belgique
2023-10-17,QAM-80,Qamis,Qamis Classique,Gris,Unknown,1,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2024-06-10,Belgique
2023-05-30,QAM-46,Qamis,Qamis Classique,Bleu ciel,Unknown,3,39.99,0,39.99,E-commerce,Visa,Belgique,2024-05-13,Luxembourg
2024-01-26,CHE-100,Chechias,Chechia,Bleu foncé,XL,3,9.49,0,9.49,E-commerce,Apple Pay,Belgique,2024-01-13,France
2023-01-29,QAM-45,Qamis,Qamis Classique,Bleu ciel,Unknown,3,39.99,0,39.99,E-commerce,PayPal,Belgique,2023-07-18,Belgique
2024-08-26,QAM-57,Qamis,Qamis Classique,Bleu foncé,Unknown,1,39.99,0,39.99,E-commerce,Visa,Belgique,2024-10-17,France
2023-10-28,SP-132,Sport-Plage,Short cache awra,Noir,XL,3,44.99,0,44.99,E-commerce,Google Pay,Belgique,2022-04-06,France
2024-07-29,QAM-1,Qamis,Qamis Classique,Beige,Unknown,2,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2023-04-30,Belgique
2023-08-10,LIN-125,Ensembles En Lin,Ensemble en Lin,Beige,S,3,69.99,0,69.99,E-commerce,Apple Pay,Belgique,2022-08-19,Belgique
2024-03-12,QAM-19,Qamis,Qamis Classique,Blanc,Unknown,2,39.99,0,39.99,E-commerce,Google Pay,Belgique,2024-01-19,Belgique
2025-05-26,QAM-30,Qamis,Qamis Classique,Noir,Unknown,3,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2023-06-25,Belgique
2023-10-17,QAM-8,Qamis,Qamis Classique,Beige,Unknown,3,39.99,0,39.99,E-commerce,Visa,Belgique,2024-11-25,France
2023-03-16,SP-135,Sport-Plage,T-shirt technique,Noir,L,1,24.99,0,24.99,E-commerce,PayPal,Belgique,2023-06-09,Belgique
2023-01-19,QAM-29,Qamis,Qamis Classique,Noir,Unknown,2,39.99,0,39.99,E-commerce,Mastercard,Belgique,2023-08-01,France
2023-08-16,QAM-75,Qamis,Qamis Classique,Kaki,Unknown,2,39.99,0,39.99,E-commerce,Visa,Belgique,2023-11-13,France
2025-01-16,QAM-60,Qamis,Qamis Classique,Bleu foncé,Unknown,1,39.99,0,39.99,E-commerce,Mastercard,Belgique,2023-07-11,Belgique
2023-06-20,QAM-77,Qamis,Qamis Classique,Kaki,Unknown,2,39.99,0,39.99,E-commerce,Visa,Belgique,2024-10-09,France
2023-07-16,LIN-113,Ensembles En Lin,Ensemble en Lin,Noir,S,2,69.99,0,69.99,E-commerce,Mastercard,Belgique,2023-10-08,Belgique
2024-07-20,SP-131,Sport-Plage,Short cache awra,Noir,L,2,44.99,0,44.99,E-commerce,Apple Pay,Belgique,2024-03-06,Pays-Bas
2024-02-13,CHE-102,Chechias,Chechia,Chocolat,M,2,9.49,0,9.49,E-commerce,Mastercard,Belgique,2024-11-17,France
2023-04-04,LIN-120,Ensembles En Lin,Ensemble en Lin,Bleu,XL,1,69.99,0,69.99,E-commerce,Mastercard,Belgique,2022-07-09,Luxembourg
2025-03-03,SP-129,Sport-Plage,Short cache awra,Noir,S,3,44.99,0,44.99,E-commerce,Google Pay,Belgique,2023-09-25,France
2023-09-19,QAM-87,Qamis,Qamis Classique,Gris,Unknown,2,39.99,0,39.99,E-commerce,Google Pay,Belgique,2023-09-20,Belgique
2023-04-28,QAM-78,Qamis,Qamis Classique,Gris,Unknown,2,39.99,0,39.99,E-commerce,Visa,Belgique,2024-08-30,France
2024-01-16,QAM-8,Qamis,Qamis Classique,Beige,Unknown,1,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2023-12-11,Pays-Bas
2023-01-25,CHE-99,Chechias,Chechia,Bleu foncé,L,1,9.49,0,9.49,E-commerce,PayPal,Belgique,2023-10-11,France
2025-05-16,QAM-33,Qamis,Qamis Classique,Noir,Unknown,3,39.99,0,39.99,E-commerce,PayPal,Belgique,2022-11-14,Luxembourg
2023-01-19,QAM-43,Qamis,Qamis Classique,Chocolat,Unknown,3,39.99,0,39.99,E-commerce,Mastercard,Belgique,2023-11-15,Luxembourg
2023-05-27,QAM-35,Qamis,Qamis Classique,Chocolat,Unknown,1,39.99,0,39.99,E-commerce,PayPal,Belgique,2023-10-26,Belgique
2024-08-13,QAM-85,Qamis,Qamis Classique,Gris,Unknown,1,39.99,0,39.99,E-commerce,Visa,Belgique,2023-03-18,Belgique
2023-06-26,QAM-6,Qamis,Qamis Classique,Beige,Unknown,3,39.99,0,39.99,E-commerce,PayPal,Belgique,2023-07-18,France
2024-03-13,QAM-54,Qamis,Qamis Classique,Bleu ciel,Unknown,3,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2024-08-09,Belgique
2023-04-04,QAM-28,Qamis,Qamis Classique,Noir,Unknown,3,39.99,0,39.99,E-commerce,PayPal,Belgique,2023-11-30,Luxembourg
2023-03-14,QAM-19,Qamis,Qamis Classique,Blanc,Unknown,1,39.99,0,39.99,E-commerce,Visa,Belgique,2022-04-23,Pays-Bas
2023-01-26,LIN-118,Ensembles En Lin,Ensemble en Lin,Bleu,M,3,69.99,0,69.99,E-commerce,Visa,Belgique,2022-01-02,Belgique
2024-04-13,QAM-41,Qamis,Qamis Classique,Chocolat,Unknown,3,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2023-10-04,Belgique
2023-11-25,QAM-40,Qamis,Qamis Classique,Chocolat,Unknown,2,39.99,0,39.99,E-commerce,Mastercard,Belgique,2022-08-08,France
2025-05-22,SP-136,Sport-Plage,T-shirt technique,Noir,XL,3,24.99,0,24.99,E-commerce,PayPal,Belgique,2024-05-04,Belgique
2023-01-25,QAM-35,Qamis,Qamis Classique,Chocolat,Unknown,3,39.99,0,39.99,E-commerce,Mastercard,Belgique,2023-01-20,Luxembourg
2025-01-23,CHE-102,Chechias,Chechia,Chocolat,M,1,9.49,0,9.49,E-commerce,Apple Pay,Belgique,2024-12-12,Belgique
2023-01-29,QAM-4,Qamis,Qamis Classique,Beige,Unknown,2,39.99,0,39.99,E-commerce,Google Pay,Belgique,2023-12-31,France
2024-12-30,QAM-63,Qamis,Qamis Classique,Bleu foncé,Unknown,1,39.99,0,39.99,E-commerce,PayPal,Belgique,2022-09-04,Belgique
2023-01-12,QAM-87,Qamis,Qamis Classique,Gris,Unknown,2,39.99,0,39.99,E-commerce,PayPal,Belgique,2024-04-15,France
2023-10-01,QAM-56,Qamis,Qamis Classique,Bleu foncé,Unknown,1,39.99,0,39.99,E-commerce,Google Pay,Belgique,2022-07-22,France
2023-11-14,CHE-106,Chechias,Chechia,Gris foncé,M,1,9.49,0,9.49,E-commerce,Apple Pay,Belgique,2022-05-03,France
2023-03-11,QAM-32,Qamis,Qamis Classique,Noir,Unknown,3,39.99,0,39.99,E-commerce,Mastercard,Belgique,2023-02-05,Belgique
2025-01-10,CHE-111,Chechias,Chechia,Gris métallisé,L,1,9.49,0,9.49,E-commerce,Apple Pay,Belgique,2024-02-06,France
2024-07-02,LIN-121,Ensembles En Lin,Ensemble en Lin,Bordeaux,S,1,69.99,0,69.99,E-commerce,Google Pay,Belgique,2022-10-21,Luxembourg
2025-03-23,QAM-30,Qamis,Qamis Classique,Noir,Unknown,2,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2022-10-07,Belgique
2025-02-05,QAM-21,Qamis,Qamis Classique,Blanc,Unknown,1,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2024-06-02,Belgique
2025-02-03,CHE-96,Chechias,Chechia,Noir,XL,2,9.49,0,9.49,E-commerce,Mastercard,Belgique,2022-07-17,Belgique
2025-03-20,CHE-97,Chechias,Chechia,Bleu foncé,S,3,9.49,0,9.49,E-commerce,Visa,Belgique,2024-09-08,France
2024-10-04,QAM-6,Qamis,Qamis Classique,Beige,Unknown,3,39.99,0,39.99,E-commerce,Mastercard,Belgique,2024-01-22,France
2024-01-11,QAM-44,Qamis,Qamis Classique,Chocolat,Unknown,2,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2022-05-24,France
2024-02-20,CHE-89,Chechias,Chechia,Gris clair,S,1,9.49,0,9.49,E-commerce,Google Pay,Belgique,2023-09-01,Belgique
2023-01-29,QAM-42,Qamis,Qamis Classique,Chocolat,Unknown,3,39.99,0,39.99,E-commerce,Visa,Belgique,2022-07-06,Belgique
2023-10-01,SP-134,Sport-Plage,T-shirt technique,Noir,M,3,24.99,0,24.99,E-commerce,PayPal,Belgique,2023-04-09,France
2025-02-26,LIN-121,Ensembles En Lin,Ensemble en Lin,Bordeaux,S,3,69.99,0,69.99,E-commerce,Mastercard,Belgique,2023-10-22,France
2025-03-12,LIN-121,Ensembles En Lin,Ensemble en Lin,Bordeaux,S,2,69.99,0,69.99,E-commerce,Mastercard,Belgique,2024-02-03,Pays-Bas
2024-08-02,QAM-9,Qamis,Qamis Classique,Beige,Unknown,1,39.99,0,39.99,E-commerce,Visa,Belgique,2024-08-12,Belgique
2024-01-25,QAM-24,Qamis,Qamis Classique,Noir,Unknown,1,39.99,0,39.99,E-commerce,Mastercard,Belgique,2023-02-07,France
2023-01-01,QAM-30,Qamis,Qamis Classique,Noir,Unknown,2,39.99,0,39.99,E-commerce,Visa,Belgique,2022-05-27,Belgique
2025-05-28,QAM-80,Qamis,Qamis Classique,Gris,Unknown,3,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2024-05-13,Belgique
2023-10-27,CHE-102,Chechias,Chechia,Chocolat,M,3,9.49,0,9.49,E-commerce,PayPal,Belgique,2023-05-04,France
2023-02-07,QAM-82,Qamis,Qamis Classique,Gris,Unknown,1,39.99,0,39.99,E-commerce,Mastercard,Belgique,2024-07-17,France
2023-12-26,QAM-45,Qamis,Qamis Classique,Bleu ciel,Unknown,1,39.99,0,39.99,E-commerce,Visa,Belgique,2023-07-05,Pays-Bas
2024-05-30,LIN-121,Ensembles En Lin,Ensemble en Lin,Bordeaux,S,3,69.99,0,69.99,E-commerce,Visa,Belgique,2022-12-04,Belgique
2024-07-24,QAM-10,Qamis,Qamis Classique,Beige,Unknown,2,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2024-05-21,Belgique
2023-01-05,LIN-123,Ensembles En Lin,Ensemble en Lin,Bordeaux,L,3,69.99,0,69.99,E-commerce,Apple Pay,Belgique,2023-10-03,France
2025-01-27,QAM-35,Qamis,Qamis Classique,Chocolat,Unknown,2,39.99,0,39.99,E-commerce,Google Pay,Belgique,2023-04-18,France
2025-03-24,QAM-33,Qamis,Qamis Classique,Noir,Unknown,3,39.99,0,39.99,E-commerce,Mastercard,Belgique,2022-05-31,Belgique
